,Open Day,HOUR_ENDING,LZ_HOUSTON,ACTUAL_LZ_SOUTH_HOUSTON
77,06/05/2024,20,26.62,4195.62
78,06/05/2024,20,36.86,4195.62
79,06/05/2024,20,44.23,4195.62
80,06/05/2024,21,43.38,3579.51
81,06/05/2024,21,32.87,3579.51
82,06/05/2024,21,27.9,3579.51
83,06/05/2024,21,25.29,3579.51
84,06/05/2024,22,23.47,3404.57
85,06/05/2024,22,20.61,3404.57
86,06/05/2024,22,20.14,3404.57
87,06/05/2024,22,19.81,3404.57
88,06/05/2024,23,21.83,2541.18
89,06/05/2024,23,22.2,2541.18
90,06/05/2024,23,22.36,2541.18
91,06/05/2024,23,21.36,2541.18
92,06/05/2024,24,20.26,1660.29
93,06/05/2024,24,20.26,1660.29
94,06/05/2024,24,18.61,1660.29
95,06/05/2024,24,17.71,1660.29
96,06/06/2024,1,17.2,1206.4
97,06/06/2024,1,16.72,1206.4
98,06/06/2024,1,16.39,1206.4
99,06/06/2024,1,15.84,1206.4
100,06/06/2024,2,15.0,1089.7
101,06/06/2024,2,14.28,1089.7
102,06/06/2024,2,13.14,1089.7
103,06/06/2024,2,12.77,1089.7
104,06/06/2024,3,11.89,1201.94
105,06/06/2024,3,11.4,1201.94
106,06/06/2024,3,11.43,1201.94
107,06/06/2024,3,11.04,1201.94
108,06/06/2024,4,10.48,1355.53
109,06/06/2024,4,10.18,1355.53
110,06/06/2024,4,9.89,1355.53
111,06/06/2024,4,9.64,1355.53
112,06/06/2024,5,9.65,1207.29
113,06/06/2024,5,9.19,1207.29
114,06/06/2024,5,9.7,1207.29
115,06/06/2024,5,10.11,1207.29
116,06/06/2024,6,10.47,1118.97
117,06/06/2024,6,10.64,1118.97
118,06/06/2024,6,11.3,1118.97
119,06/06/2024,6,13.16,1118.97
120,06/06/2024,7,13.88,1130.06
121,06/06/2024,7,14.22,1130.06
122,06/06/2024,7,14.36,1130.06
123,06/06/2024,7,14.28,1130.06
124,06/06/2024,8,13.93,981.43
125,06/06/2024,8,12.91,981.43
126,06/06/2024,8,11.96,981.43
127,06/06/2024,8,11.26,981.43
128,06/06/2024,9,11.16,807.46
129,06/06/2024,9,11.27,807.46
130,06/06/2024,9,11.38,807.46
131,06/06/2024,9,11.5,807.46
132,06/06/2024,10,11.91,948.45
133,06/06/2024,10,12.78,948.45
134,06/06/2024,10,13.59,948.45
135,06/06/2024,10,14.26,948.45
136,06/06/2024,11,14.63,970.63
137,06/06/2024,11,15.37,970.63
138,06/06/2024,11,16.47,970.63
139,06/06/2024,11,17.99,970.63
140,06/06/2024,12,18.12,906.33
141,06/06/2024,12,19.53,906.33
142,06/06/2024,12,20.32,906.33
143,06/06/2024,12,21.26,906.33
144,06/06/2024,13,23.7,839.1
145,06/06/2024,13,30.5,839.1
146,06/06/2024,13,28.4,839.1
147,06/06/2024,13,32.41,839.1
148,06/06/2024,14,37.85,775.6
149,06/06/2024,14,28.51,775.6
150,06/06/2024,14,42.06,775.6
151,06/06/2024,14,48.01,775.6
152,06/06/2024,15,24.34,924.51
153,06/06/2024,15,32.05,924.51
154,06/06/2024,15,46.65,924.51
155,06/06/2024,15,47.63,924.51
156,06/06/2024,16,41.83,1179.9
157,06/06/2024,16,30.05,1179.9
158,06/06/2024,16,26.77,1179.9
159,06/06/2024,16,37.47,1179.9
160,06/06/2024,17,29.45,1358.25
